combination,total
stable,10000
sticky,7328.6
random,1015.6
alwaysnew,167.2
bandwagon,5287.4
safe,9662.4
frost,140.4
highroller,348.8
opportunistic,1139.4
stable_sticky,10481.0
stable_random,7275.8
stable_alwaysnew,5953.2
stable_bandwagon,9993.4
stable_safe,9963.0
stable_frost,7067.0
stable_highroller,5231.6
stable_opportunistic,6989.4
sticky_random,4684.2
sticky_alwaysnew,3653.0
sticky_bandwagon,8500.8
sticky_safe,11184.0
sticky_frost,5732.2
sticky_highroller,4714.0
sticky_opportunistic,5751.8
random_alwaysnew,805.0
random_bandwagon,3414.0
random_safe,7154.0
random_frost,2351.2
random_highroller,1355.8
random_opportunistic,2416.6
alwaysnew_bandwagon,1766.2
safe_alwaysnew,5941.6
alwaysnew_frost,1610.8
alwaysnew_highroller,379.0
alwaysnew_opportunistic,1664.4
safe_bandwagon,8414.0
frost_bandwagon,2295.0
highroller_bandwagon,2006.6
bandwagon_opportunistic,2119.4
safe_frost,2014.6
safe_highroller,3325.2
safe_opportunistic,3005.0
frost_highroller,4526.0
frost_opportunistic,3965.6
highroller_opportunistic,1806.8
stable_sticky_random,7459.8
stable_sticky_alwaysnew,6641.0
stable_sticky_bandwagon,12062.4
stable_sticky_safe,11616.6
stable_sticky_frost,7653.0
stable_sticky_highroller,7762.8
stable_sticky_opportunistic,8644.6
stable_random_alwaysnew,4602.2
stable_random_bandwagon,9891.8
stable_random_safe,9459.2
stable_random_frost,6123.6
stable_random_highroller,5318.2
stable_random_opportunistic,6116.4
stable_alwaysnew_bandwagon,8240.6
stable_safe_alwaysnew,8653.6
stable_alwaysnew_frost,5695.4
stable_alwaysnew_highroller,4596.8
stable_alwaysnew_opportunistic,5639.0
stable_safe_bandwagon,10007.2
stable_frost_bandwagon,8420.0
stable_highroller_bandwagon,6982.0
stable_bandwagon_opportunistic,8505.2
stable_safe_frost,8411.4
stable_safe_highroller,6971.6
stable_safe_opportunistic,8659.8
stable_frost_highroller,4859.0
stable_frost_opportunistic,7075.2
stable_highroller_opportunistic,5380.8
sticky_random_alwaysnew,3002.8
sticky_random_bandwagon,4757.0
sticky_random_safe,7650.4
sticky_random_frost,3947.6
sticky_random_highroller,3174.6
sticky_random_opportunistic,4108.4
sticky_alwaysnew_bandwagon,4027.6
sticky_safe_alwaysnew,6513.8
sticky_alwaysnew_frost,3786.0
sticky_alwaysnew_highroller,2895.0
sticky_alwaysnew_opportunistic,3840.8
sticky_safe_bandwagon,10376.0
sticky_frost_bandwagon,5257.2
sticky_highroller_bandwagon,6496.4
sticky_bandwagon_opportunistic,5307.4
sticky_safe_frost,8366.4
sticky_safe_highroller,6502.0
sticky_safe_opportunistic,6530.2
sticky_frost_highroller,5983.0
sticky_frost_opportunistic,5201.0
sticky_highroller_opportunistic,4430.4
random_alwaysnew_bandwagon,1816.8
random_safe_alwaysnew,4312.8
random_alwaysnew_frost,1812.8
random_alwaysnew_highroller,706.0
random_alwaysnew_opportunistic,1517.6
random_safe_bandwagon,9185.0
random_frost_bandwagon,2842.8
random_highroller_bandwagon,2501.0
random_bandwagon_opportunistic,2726.0
random_safe_frost,3243.6
random_safe_highroller,4296.8
random_safe_opportunistic,4569.0
random_frost_highroller,3934.8
random_frost_opportunistic,3325.4
random_highroller_opportunistic,2315.2
safe_alwaysnew_bandwagon,7854.2
alwaysnew_frost_bandwagon,2260.6
alwaysnew_highroller_bandwagon,1765.0
alwaysnew_bandwagon_opportunistic,2255.6
safe_alwaysnew_frost,2475.8
safe_alwaysnew_highroller,3303.4
safe_alwaysnew_opportunistic,3282.2
alwaysnew_frost_highroller,3037.2
alwaysnew_frost_opportunistic,3085.8
alwaysnew_highroller_opportunistic,1665.8
safe_frost_bandwagon,7039.4
safe_highroller_bandwagon,6873.2
safe_bandwagon_opportunistic,7052.4
frost_highroller_bandwagon,3728.0
frost_bandwagon_opportunistic,4158.4
highroller_bandwagon_opportunistic,2176.8
safe_frost_highroller,3362.6
safe_frost_opportunistic,3218.0
safe_highroller_opportunistic,3158.2
frost_highroller_opportunistic,3371.2
stable_sticky_random_alwaysnew,5484.0
stable_sticky_random_bandwagon,8906.2
stable_sticky_random_safe,9072.6
stable_sticky_random_frost,5940.6
stable_sticky_random_highroller,6346.4
stable_sticky_random_opportunistic,6410.4
stable_sticky_alwaysnew_bandwagon,7965.0
stable_sticky_safe_alwaysnew,8551.4
stable_sticky_alwaysnew_frost,5868.8
stable_sticky_alwaysnew_highroller,5246.4
stable_sticky_alwaysnew_opportunistic,5774.8
stable_sticky_safe_bandwagon,11683.6
stable_sticky_frost_bandwagon,8881.6
stable_sticky_highroller_bandwagon,9322.2
stable_sticky_bandwagon_opportunistic,9687.6
stable_sticky_safe_frost,9432.6
stable_sticky_safe_highroller,8880.2
stable_sticky_safe_opportunistic,9755.8
stable_sticky_frost_highroller,6867.0
stable_sticky_frost_opportunistic,6574.8
stable_sticky_highroller_opportunistic,6962.2
stable_random_alwaysnew_bandwagon,6463.8
stable_random_safe_alwaysnew,6932.4
stable_random_alwaysnew_frost,4452.2
